model, price, weight, device name, brand, touch screen, announced date, CPU
Motorola Droid A855 (Formerly Motorola Sholes),don't know,don't know,Motorola Droid A855 (Formerly Motorola Sholes),don't know,don't know,2016  June,don't know
Motorola Droid 2 MB810 (Formerly Motorola Shadow),don't know,don't know,Motorola Droid 2 MB810 (Formerly Motorola Shadow),don't know,don't know,2016  June,don't know
Motorola Droid 2 R2-D2 Edition,don't know,don't know,Motorola Droid 2 R2-D2 Edition,don't know,don't know,2016  June,don't know
Motorola Droid 2 World Edition A956,don't know,don't know,Motorola Droid 2 World Edition A956,don't know,don't know,2016  June,don't know
Motorola Droid Pro A957,don't know,don't know,Motorola Droid Pro A957,don't know,don't know,2016  June,don't know
Motorola Droid X,don't know,don't know,Motorola Droid X,don't know,don't know,2016  June,don't know
Motorola Flipout MB511 (Formerly Motorola Ruth),don't know,don't know,Motorola Flipout MB511 (Formerly Motorola Ruth),don't know,don't know,don't know,don't know
Motorola Heron,don't know,don't know,Motorola Heron,don't know,don't know,don't know,don't know
Motorola i1 (Formerly Motorola Opus),don't know,don't know,Motorola i1 (Formerly Motorola Opus),don't know,don't know,don't know,don't know
Motorola Jordan,don't know,don't know,Motorola Jordan,don't know,don't know,don't know,don't know
Motorola LaJolla,don't know,don't know,Motorola LaJolla,don't know,don't know,don't know,don't know
Motorola Milestone XT720,(About 130 EUR),don't know,Motorola Milestone XT720,don't know,don't know,2009  November. Released 2009  November,don't know
Motorola Milestone 2,(About 130 EUR),don't know,Motorola Milestone 2,don't know,don't know,2009  November. Released 2009  November,don't know
Motorola Ming A1680,don't know,don't know,Motorola Ming A1680,don't know,don't know,don't know,don't know
Motorola Ming MT810,don't know,don't know,Motorola Ming MT810,don't know,don't know,don't know,don't know
Motorola Ming XT806,don't know,don't know,Motorola Ming XT806,don't know,don't know,don't know,don't know
Motorola Mirage,don't know,don't know,Motorola Mirage,don't know,don't know,don't know,don't know
Motorola MOTO Milestone XT701,don't know,don't know,Motorola MOTO Milestone XT701,don't know,don't know,don't know,don't know
Motorola MOTO MT710,(About 700 EUR),don't know,Motorola MOTO MT710,don't know,don't know,2014  November,don't know
Motorola MOTO XT800,(About 170 EUR),don't know,Motorola MOTO XT800,don't know,don't know,2015  July,don't know
Motorola Motoglam,(About 170 EUR),don't know,Motorola Motoglam,don't know,don't know,2015  July,don't know
Motorola Motoqrty,don't know,don't know,Motorola Motoqrty,don't know,don't know,don't know,don't know
Motorola Motoroi,(About 170 EUR),don't know,Motorola Motoroi,don't know,don't know,2015  July,don't know
Motorola Quench,(About 170 EUR),don't know,Motorola Quench,don't know,don't know,2015  July,don't know
Motorola Sage (Formerly known as the Asena and Gallardo),don't know,don't know,Motorola Sage (Formerly known as the Asena and Gallardo),don't know,don't know,don't know,don't know
Motorola XT610,don't know,don't know,Motorola XT610,don't know,don't know,don't know,don't know
NTT DoCoMo,don't know,don't know,NTT DoCoMo,don't know,don't know,don't know,don't know
Openmoko GTA02,don't know,don't know,Openmoko GTA02,don't know,don't know,don't know,don't know
Oppo,don't know,don't know,Oppo,don't know,don't know,2016  August,don't know
Orange Boston,don't know,don't know,Orange Boston,don't know,don't know,don't know,don't know
Orange Project JAL,don't know,don't know,Orange Project JAL,don't know,don't know,don't know,don't know
Orange San Franciso,(About 170 EUR),don't know,Orange San Franciso,don't know,don't know,2010  October. Released 2010  November,don't know
Orange Tactile Internet,don't know,don't know,Orange Tactile Internet,don't know,don't know,don't know,don't know
Pantech IWA600S Sirius,don't know,don't know,Pantech IWA600S Sirius,don't know,don't know,don't know,don't know
Pantech Sirius Sky,don't know,don't know,Pantech Sirius Sky,don't know,don't know,don't know,don't know
Philips V808,don't know,120 g (4.23 oz),Philips V808,Philips,don't know,2009  October. Released 2009  Q4,don't know
Philips V900,don't know,153.5 g (5.40 oz),Philips V900,Philips,don't know,2010  February,don't know
Qigi i6,don't know,don't know,Qigi i6,don't know,don't know,don't know,don't know
Russian Technologies ?,don't know,don't know,Russian Technologies ?,don't know,don't know,don't know,don't know
Samsung Acclaim,don't know,130 g (4.59 oz),Samsung Acclaim,Samsung,don't know,2010  June,don't know
Samsung Apollo,don't know,don't know,Samsung Apollo,don't know,don't know,don't know,don't know
Samsung Beam i8520,don't know,don't know,Samsung Beam i8520,don't know,don't know,don't know,don't know
Samsung Behold,(About 90 EUR),don't know,Samsung Behold,don't know,don't know,2009  October. Released 2009  November,don't know
Samsung Behold II,(About 90 EUR),don't know,Samsung Behold II,don't know,don't know,2009  October. Released 2009  November,don't know
Samsung Bigfoot,don't know,don't know,Samsung Bigfoot,don't know,don't know,don't know,don't know
Samsung Captivate,(About 90 EUR),don't know,Samsung Captivate,don't know,don't know,2009  October. Released 2009  November,don't know
Samsung Continum I400,don't know,don't know,Samsung Continum I400,don't know,don't know,don't know,don't know
Samsung Corby,don't know,don't know,Samsung Corby,don't know,don't know,don't know,don't know
Samsung Epic 4G,(About 130 EUR),155 g (5.47 oz),Samsung Epic 4G,Samsung,Yes,2011  August,1.0 GHz Cortex-A8
Samsung Fascinate SGH-I500,don't know,don't know,Samsung Fascinate SGH-I500,don't know,don't know,don't know,don't know
Samsung Galaxy,(About 850 EUR),don't know,Samsung Galaxy,don't know,don't know,2016  August,don't know
Samsung Galaxy 3 i5801,(About 850 EUR),don't know,Samsung Galaxy 3 i5801,don't know,don't know,2016  August,don't know
Samsung Galaxy 5 i5503,(About 850 EUR),don't know,Samsung Galaxy 5 i5503,don't know,don't know,2016  August,don't know
Samsung Galaxy A,(About 210 EUR),128 g (4.52 oz),Samsung Galaxy A,Samsung,Yes,2011  August. Released 2011  September,720 MHz Cortex-A8
Samsung Galaxy i5510,(About 850 EUR),don't know,Samsung Galaxy i5510,don't know,don't know,2016  August,don't know
Samsung Galaxy Apollo i5800,(About 850 EUR),don't know,Samsung Galaxy Apollo i5800,don't know,don't know,2016  August,don't know
Samsung Galaxy Beam i8520 (Formerly Samsung Halo),(About 850 EUR),don't know,Samsung Galaxy Beam i8520 (Formerly Samsung Halo),don't know,don't know,2016  August,don't know
Samsung Galaxy Lite,(About 850 EUR),don't know,Samsung Galaxy Lite,don't know,don't know,2016  August,don't know
Samsung Galaxy Naos,(About 850 EUR),don't know,Samsung Galaxy Naos,don't know,don't know,2016  August,don't know
Samsung Galaxy Portal,(About 850 EUR),don't know,Samsung Galaxy Portal,don't know,don't know,2016  August,don't know
Samsung Galaxy Q,(About 850 EUR),don't know,Samsung Galaxy Q,don't know,don't know,2016  August,don't know
Samsung Galaxy Mini,(About 850 EUR),don't know,Samsung Galaxy Mini,don't know,don't know,2016  August,don't know
Samsung Galaxy S Pro,(About 850 EUR),don't know,Samsung Galaxy S Pro,don't know,don't know,2016  August,don't know
Samsung Galaxy Teos,(About 850 EUR),don't know,Samsung Galaxy Teos,don't know,don't know,2016  August,don't know
Samsung Galaxy U,(About 120 EUR),don't know,Samsung Galaxy U,don't know,don't know,2011  January,don't know
Samsung Houdini,don't know,don't know,Samsung Houdini,don't know,don't know,don't know,don't know
Samsung Gem,don't know,don't know,Samsung Gem,don't know,don't know,don't know,don't know
Samsung i899,don't know,don't know,Samsung i899,don't know,don't know,don't know,don't know
Samsung i5500,don't know,don't know,Samsung i5500,don't know,don't know,don't know,don't know
Samsung Galaxy S2 I9200,(About 850 EUR),don't know,Samsung Galaxy S2 I9200,don't know,don't know,2016  August,don't know
Samsung i5700,don't know,don't know,Samsung i5700,don't know,don't know,don't know,don't know
Samsung i6500,don't know,don't know,Samsung i6500,don't know,don't know,don't know,don't know
